EventNameEnglish,EventNameFrench,IsGeneralElection,ElectoralDistrictNumber,ElectoralDistrictNameEnglish,ElectoralDistrictNameFrench,ReturningOfficerName,ReturningOfficeCity,PollingDate,ResignedMPPName,NameOfCandidates,PoliticalInterestCode,TotalValidBallotsCast,PercentOfTotalValidBallotsCast,Plurality,IsMemberOfPreviousLegislature
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,087,Pickering—Uxbridge,Pickering—Uxbridge,SANDI SULLIVAN,PICKERING,2022-Jun-02,Peter Bethlenfalvy,KHALID AHMED,NDP,6934,0.16039045151739452,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,096,Scarborough North,Scarborough-Nord,NATASHA BECKFORD,TORONTO,2022-Jun-02,Raymond Cho,ANITA ANANDARAJAN,LIB,7750,0.29606142797111968,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,097,Scarborough—Rouge Park,Scarborough—Rouge Park,MICHAEL PINTO,TORONTO,2022-Jun-02,Vijay Thanigasalam,GORDON KERR,ONP,523,0.01481082917988219,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,023,Dufferin—Caledon,Dufferin—Caledon,SHARON BLEMANO,ORANGEVILLE,2022-Jun-02,Sylvia Jones,ERICKUMAR EMMANUEL,MOD,105,0.00227632406182929,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,076,Orléans,Orléans,RICHARD LALONDE,OTTAWA,2022-Jun-02,Stephen Blais,MICHELLE PETERSEN,GPO,2359,0.04550627905630895,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,117,Willowdale,Willowdale,MAY LYNNE FONG,TORONTO,2022-Jun-02,Stan Cho,STAN CHO,PCP,14105,0.44660101953582623,2115,1
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,083,Parkdale—High Park,Parkdale—High Park,EDWIN LIM,TORONTO,2022-Jun-02,Bhutila Karpoche,CRAIG PESKETT,ONP,349,0.00818019876242265,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,033,Guelph,Guelph,SUSAN DICKERT,GUELPH,2022-Jun-02,Mike Schreiner,PETER MCSHERRY,PCP,11149,0.20405212489476188,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,043,Kanata—Carleton,Kanata—Carleton,RICHARD DEROUIN,OTTAWA,2022-Jun-02,Merrilee Fullerton,SHAHBAZ SYED,LIB,10672,0.23419429875573306,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,025,Eglinton—Lawrence,Eglinton—Lawrence,CRAIG SPARLING,TORONTO,2022-Jun-02,Robin Martin,JONATHAN DAVIS,BEN,117,0.00298028427326914,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,112,University—Rosedale,University—Rosedale,KELLY WALTERS,TORONTO,2022-Jun-02,Jessica Bell,JOHN KANARY,SNS,140,0.00376536403001533,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,013,Brantford—Brant,Brantford—Brant,MICHAEL WYATT,BRANTFORD,2022-Jun-02,Will Bouma,TAD BRUDZINSKI,NBO,2089,0.04449129981044874,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,068,Niagara Centre,Niagara-Centre,TONY VERRELLI,WELLAND,2022-Jun-02,Jeff Burch,JEFF BURCH,NDP,16360,0.39701028926422053,854,1
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,082,Oxford,Oxford,ELIZABETH MARTIN,WOODSTOCK,2022-Jun-02,Ernie Hardeman,CONNIE OLDENBURGER,NBO,1518,0.03425012973533990,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,076,Orléans,Orléans,RICHARD LALONDE,OTTAWA,2022-Jun-02,Stephen Blais,MELISSA FELIÁN,PCP,16926,0.32651092806574200,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,028,Etobicoke Centre,Etobicoke-Centre,MARTIN RILEY,TORONTO,2022-Jun-02,Kinga Surma,BRIAN MACLEAN,GPO,2036,0.04489426914511256,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,007,Beaches—East York,Beaches—East York,JEFF PAULIN,TORONTO,2022-Jun-02,Rima Berns-McGown,MARY-MARGARET MCMAHON,LIB,14398,0.35421176933674473,898,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,078,Ottawa Centre,Ottawa-Centre,DAVID ALLSTON,OTTAWA,2022-Jun-02,Joel Harden,GLEN ARMSTRONG,NBO,798,0.01430594646922787,0,0
