EventNameEnglish,EventNameFrench,IsGeneralElection,ElectoralDistrictNumber,ElectoralDistrictNameEnglish,ElectoralDistrictNameFrench,ReturningOfficerName,ReturningOfficeCity,PollingDate,ResignedMPPName,NameOfCandidates,PoliticalInterestCode,TotalValidBallotsCast,PercentOfTotalValidBallotsCast,Plurality,IsMemberOfPreviousLegislature
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,114,Waterloo,Waterloo,DIANE ALMEIDA,WATERLOO,2022-Jun-02,Catherine Fife,SHEFAZA ESMAIL,GPO,3110,0.06923111170473264,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,014,Bruce—Grey—Owen Sound,Bruce—Grey—Owen Sound,LINDA VAN AALST,OWEN SOUND,2022-Jun-02,Bill Walker,SELWYN J. HICKS,LIB,8499,0.20327186625529166,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,067,Newmarket—Aurora,Newmarket—Aurora,TINA BASSO,NEWMARKET,2022-Jun-02,Christine Elliott,IWONA CZARNECKA,NBO,1520,0.03660621824049322,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,118,Windsor—Tecumseh,Windsor—Tecumseh,MARK MOORE,TECUMSEH,2022-Jun-02,Percy Hatfield,GEMMA GREY-HALL,NDP,11551,0.29962906279992736,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,057,Markham—Thornhill,Markham—Thornhill,NINA BABIRAD,MARKHAM,2022-Jun-02,Logan Kanapathi,MANSOOR QURESHI,CEN,219,0.00763092790689571,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,035,Haliburton—Kawartha Lakes—Brock,Haliburton—Kawartha Lakes—Brock,KIRK WILLIAMS,KAWARTHA LAKES,2022-Jun-02,Laurie Scott,KERSTIN KELLY,ONP,3949,0.08071373094060417,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,042,Huron—Bruce,Huron—Bruce,JACQUIE BISHOP,HURON EAST,2022-Jun-02,Lisa Thompson,LISA THOMPSON,PCP,24369,0.51968352810713981,15594,1
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,012,Brampton West,Brampton-Ouest,SHASHIKANT NAYAK,BRAMPTON,2022-Jun-02,Amarjot Sandhu,NAVJIT KAUR,NDP,6398,0.20748475807497729,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,055,London West,London-Ouest,KAREN MAZEREEUW,LONDON,2022-Jun-02,Peggy Sattler,MIKE MCMULLEN,FRE,197,0.00394932039613487,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,074,Oakville,Oakville,SUSAN KUN,OAKVILLE,2022-Jun-02,Stephen Crawford,ALISON GOHEL,LIB,17554,0.37694603706328244,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,108,Timmins,Timmins,ANNE MARIE VAILLANCOURT,TIMMINS,2022-Jun-02,Gilles Bisson,DAVID FARRELL,NBO,421,0.02916118307127519,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,086,Peterborough—Kawartha,Peterborough—Kawartha,RODNEY MANLEY,PETERBOROUGH,2022-Jun-02,Dave Smith,DAVE SMITH,PCP,20205,0.38579038817711416,4207,1
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,002,Algoma—Manitoulin,Algoma—Manitoulin,PAULINE CLARK,HURON SHORES,2022-Jun-02,Michael Mantha,MICHAEL MANTHA,NDP,11252,0.45928405241030246,2560,1
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,115,Wellington—Halton Hills,Wellington—Halton Hills,YOLANDA FELLOWS,HALTON HILLS,2022-Jun-02,Ted Arnott,RYAN KAHRO,GPO,7002,0.14147455195684238,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,021,Don Valley North,Don Valley-Nord,DENISE DAVIS,TORONTO,2022-Jun-02,Vincent Ke,OSTAP SOROKA,GPO,1179,0.03715960665658093,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,031,Flamborough—Glanbrook,Flamborough—Glanbrook,SUSAN CURTIS,HAMILTON,2022-Jun-02,Donna Skelly,WALT JUCHNIEWICZ,ONP,710,0.01615435371208846,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,054,London North Centre,London-Centre-Nord,EDWARD THOMPSON,LONDON,2022-Jun-02,Terence Devin Kernaghan,CAROL DYCK,GPO,2064,0.04790530346988511,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,032,Glengarry—Prescott—Russell,Glengarry—Prescott—Russell,OLIVER VALZ,HAWKESBURY,2022-Jun-02,Amanda Simard,ALICIA EGLIN,NDP,3789,0.08537244828984723,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,022,Don Valley West,Don Valley-Ouest,NASIR ADDETIA,TORONTO,2022-Jun-02,Kathleen Wynne,KYLIE MC ALLISTER,ONP,167,0.00454298150163220,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,002,Algoma—Manitoulin,Algoma—Manitoulin,PAULINE CLARK,HURON SHORES,2022-Jun-02,Michael Mantha,FREDERICK WEENING,ONP,356,0.01453120535532062,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,004,Barrie—Innisfil,Barrie—Innisfil,DENNIS CHRONOPOULOS,BARRIE,2022-Jun-02,Andrea Khanjin,ANDREA KHANJIN,PCP,18225,0.50245368328187031,11283,1
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,075,Oakville North—Burlington,Oakville-Nord—Burlington,PAM CALLEJA,BURLINGTON,2022-Jun-02,Effie Triantafilopoulos,KANIZ MOULI,LIB,16631,0.35313727571929079,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,064,Mississauga—Malton,Mississauga—Malton,MARY BARBARA COSGRIFFE,MISSISSAUGA,2022-Jun-02,Deepak Anand,VAN NGUYEN,NBO,844,0.02908038452261999,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,046,Kingston and the Islands,Kingston et les Îles,ELIZABETH MCIVER,KINGSTON,2022-Jun-02,Ian Arthur,LAUREL CLAUS JOHNSON,CNS,120,0.00246158895567088,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,096,Scarborough North,Scarborough-Nord,NATASHA BECKFORD,TORONTO,2022-Jun-02,Raymond Cho,JUSTIN KONG,NDP,4820,0.18413110746074798,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,106,Thunder Bay—Superior North,Thunder Bay—Supérieur-Nord,JULIO GOMES,THUNDER BAY,2022-Jun-02,Michael Gravelle,KATHERINE SUUTARI,NBO,314,0.01274661037590322,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,018,Chatham-Kent—Leamington,Chatham-Kent—Leamington,RITA DRURY,CHATHAM-KENT,2022-Jun-02,Rick Nicholls,TREVOR JONES,PCP,17522,0.47523732031461893,6359,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,087,Pickering—Uxbridge,Pickering—Uxbridge,SANDI SULLIVAN,PICKERING,2022-Jun-02,Peter Bethlenfalvy,LISA ROBINSON,ONP,1790,0.04140451517394522,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,002,Algoma—Manitoulin,Algoma—Manitoulin,PAULINE CLARK,HURON SHORES,2022-Jun-02,Michael Mantha,MARIA LEGAULT,GPO,764,0.03118494632433976,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,013,Brantford—Brant,Brantford—Brant,MICHAEL WYATT,BRANTFORD,2022-Jun-02,Will Bouma,ROB FERGUSON,LTN,299,0.00636807019785743,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,036,Hamilton Centre,Hamilton-Centre,RYAN LEVERTON,HAMILTON,2022-Jun-02,Andrea Horwath,JOHN CHROUST,NBO,483,0.01657117370569869,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,082,Oxford,Oxford,ELIZABETH MARTIN,WOODSTOCK,2022-Jun-02,Ernie Hardeman,KARL TOEWS,ONP,3579,0.08075178809142392,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,107,Timiskaming—Cochrane,Timiskaming—Cochrane,LISE LACHAPELLE,TEMISKAMING SHORES,2022-Jun-02,John Vanthof,ERIC CUMMINGS,LTN,248,0.01088722068571930,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,092,Sault Ste. Marie,Sault Ste. Marie,BRIAN STINSON,SAULT STE. MARIE,2022-Jun-02,Ross Romano,NAOMI SAYERS,IND,1070,0.03980062490700788,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,095,Scarborough—Guildwood,Scarborough—Guildwood,DARRYL D'SOUSA,TORONTO,2022-Jun-02,Mitzie Hunter,WILLIAM MOORE,ONP,265,0.00915402950015544,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,097,Scarborough—Rouge Park,Scarborough—Rouge Park,MICHAEL PINTO,TORONTO,2022-Jun-02,Vijay Thanigasalam,FELICIA SAMUEL,NDP,7742,0.21924558223833257,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,058,Markham—Unionville,Markham—Unionville,SUSAN MENARD,MARKHAM,2022-Jun-02,Billy Pang,NAZ OBREDOR,ONP,249,0.00702952967082604,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,022,Don Valley West,Don Valley-Ouest,NASIR ADDETIA,TORONTO,2022-Jun-02,Kathleen Wynne,JOHN KLADITIS,IND,85,0.00231229597388465,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,092,Sault Ste. Marie,Sault Ste. Marie,BRIAN STINSON,SAULT STE. MARIE,2022-Jun-02,Ross Romano,KEAGAN GILFILLAN,GPO,675,0.02510787085255170,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,041,Humber River—Black Creek,Humber River—Black Creek,GUS CARUSO,TORONTO,2022-Jun-02,Tom Rakocevic,KEITH BERRY,GPO,430,0.01863246381835514,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,051,Lanark—Frontenac—Kingston,Lanark—Frontenac—Kingston,CHERYL BIRD,SMITHS FALLS,2022-Jun-02,Randy Hillier,AMANDA PULKER-MOK,LIB,6962,0.15756478442910489,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,053,London—Fanshawe,London—Fanshawe,MARGARET HOWARD,LONDON,2022-Jun-02,Teresa J. Armstrong,TERESA ARMSTRONG,NDP,16123,0.47060712200817279,4899,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,069,Niagara Falls,Niagara Falls,KATHLEEN QUIQUERO,NIAGARA FALLS,2022-Jun-02,Wayne Gates,BOB GALE,PCP,18342,0.36433338630224058,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,056,Markham—Stouffville,Markham—Stouffville,LINDA JANKOWSKI,MARKHAM,2022-Jun-02,Paul Calandra,PAUL CALANDRA,PCP,21176,0.48432175285318939,5664,1
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,063,Mississauga—Lakeshore,Mississauga—Lakeshore,MARIJKA STADNYK,MISSISSAUGA,2022-Jun-02,Rudy Cuzzetto,ELIZABETH MENDES,LIB,15768,0.36763814408953135,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,041,Humber River—Black Creek,Humber River—Black Creek,GUS CARUSO,TORONTO,2022-Jun-02,Tom Rakocevic,IULIAN CAUNEI,NBO,281,0.01217609844873905,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,078,Ottawa Centre,Ottawa-Centre,DAVID ALLSTON,OTTAWA,2022-Jun-02,Joel Harden,SHELBY BERTRAND,GPO,2718,0.04872626880120471,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,107,Timiskaming—Cochrane,Timiskaming—Cochrane,LISE LACHAPELLE,TEMISKAMING SHORES,2022-Jun-02,John Vanthof,BRIAN JOHNSON,LIB,1600,0.07024013345625356,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,046,Kingston and the Islands,Kingston et les Îles,ELIZABETH MCIVER,KINGSTON,2022-Jun-02,Ian Arthur,STEPHEN SKYVINGTON,NBO,429,0.00880018051652341,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,073,Northumberland—Peterborough South,Northumberland—Peterborough-Sud,ANN MACDONALD,COBOURG,2022-Jun-02,David Piccini,LISA FRANCIS,GPO,2942,0.05671762641938655,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,019,Davenport,Davenport,ROCCO D'AMICO,TORONTO,2022-Jun-02,Marit Stiles,NICHOLAS ALEXANDER,IND,139,0.00391847320497279,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,016,Cambridge,Cambridge,LINDA LACHANCE,CAMBRIDGE,2022-Jun-02,Belinda Karahalios,BRIAN RIDDELL,PCP,14590,0.37029517017334585,5845,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,103,Sudbury,Sudbury,JOE SHAW,GREATER SUDBURY,2022-Jun-02,Jamie West,JAMIE WEST,NDP,12013,0.40846650799047942,3494,1
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,117,Willowdale,Willowdale,MAY LYNNE FONG,TORONTO,2022-Jun-02,Stan Cho,BIRINDER SINGH AHLUWALIA,IND,71,0.00224804483424627,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,037,Hamilton East—Stoney Creek,Hamilton-Est—Stoney Creek,CATHERINE COUSINS,HAMILTON,2022-Jun-02,Paul Miller,JASON FARR,LIB,7411,0.21074333162713985,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,081,Ottawa West—Nepean,Ottawa-Ouest—Nepean,PATRICIA DIMILLO,OTTAWA,2022-Jun-02,Jeremy Roberts,JEREMY ROBERTS,PCP,14610,0.34940450566795810,0,1
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,053,London—Fanshawe,London—Fanshawe,MARGARET HOWARD,LONDON,2022-Jun-02,Teresa J. Armstrong,T PAUL PLUMB,CNS,100,0.00291885580852305,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,009,Brampton East,Brampton-Est,AMANPREET WARAICH,BRAMPTON,2022-Jun-02,Gurratan Singh,JAMAAL BLACKWOOD,GPO,557,0.01918308306929329,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,058,Markham—Unionville,Markham—Unionville,SUSAN MENARD,MARKHAM,2022-Jun-02,Billy Pang,SHANTA SUNDARASON,GPO,1299,0.03667212466828524,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,009,Brampton East,Brampton-Est,AMANPREET WARAICH,BRAMPTON,2022-Jun-02,Gurratan Singh,JANNAT GAREWAL,LIB,6131,0.21115167378426780,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,062,Mississauga—Erin Mills,Mississauga—Erin Mills,MONICA KEFENTSE,MISSISSAUGA,2022-Jun-02,Sheref Sabawy,SHEREF SABAWY,PCP,15693,0.42145830535786222,1739,1
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,079,Ottawa South,Ottawa-Sud,SUSAN DENNISON,OTTAWA,2022-Jun-02,John Fraser,MORGAN GAY,NDP,9619,0.23750617283950617,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,113,Vaughan—Woodbridge,Vaughan—Woodbridge,MAYA KRYMCHAKOVA,VAUGHAN,2022-Jun-02,Michael Tibollo,MARIO GRECO,PPR,249,0.00692474553645920,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,011,Brampton South,Brampton-Sud,JANICE BARBER,BRAMPTON,2022-Jun-02,Prabmeet Singh Sarkaria,INES ESPINOZA,GPO,1028,0.03594154254947206,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,106,Thunder Bay—Superior North,Thunder Bay—Supérieur-Nord,JULIO GOMES,THUNDER BAY,2022-Jun-02,Michael Gravelle,STEPHEN HUFNAGEL,ONP,338,0.01372087358934805,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,048,Kitchener—Conestoga,Kitchener—Conestoga,KRISTINE FLETCHER,WILMOT,2022-Jun-02,Mike Harris,MIKE HARRIS,PCP,15045,0.40025007315970097,4194,1
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,086,Peterborough—Kawartha,Peterborough—Kawartha,RODNEY MANLEY,PETERBOROUGH,2022-Jun-02,Dave Smith,JEN DECK,NDP,11196,0.21377427300326504,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,050,Lambton—Kent—Middlesex,Lambton—Kent—Middlesex,KIM LEE,CHATHAM-KENT,2022-Jun-02,Monte McNaughton,MONTE MCNAUGHTON,PCP,24933,0.58805632208306799,16946,1
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,070,Niagara West,Niagara-Ouest,ROBERT CIARLO,WEST LINCOLN,2022-Jun-02,Sam Oosterhoff,DAVE AUGUSTYN,NDP,8658,0.20714900947459086,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,121,York—Simcoe,York—Simcoe,NINA WILLCOCKS,EAST GWILLIMBURY,2022-Jun-02,Caroline Mulroney,WALTER ALVAREZ-BARDALES,LIB,6319,0.17251829201703614,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,121,York—Simcoe,York—Simcoe,NINA WILLCOCKS,EAST GWILLIMBURY,2022-Jun-02,Caroline Mulroney,ZACHARY TISDALE,LTN,262,0.00715299770667249,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,101,Spadina—Fort York,Spadina—Fort York,KHADIJAH SULEMAN,TORONTO,2022-Jun-02,Chris Glover,CARA DES GRANGES,GPO,1902,0.05617745222553681,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,007,Beaches—East York,Beaches—East York,JEFF PAULIN,TORONTO,2022-Jun-02,Rima Berns-McGown,STEPHEN RONEY,NBO,441,0.01084924227514268,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,060,Mississauga Centre,Mississauga-Centre,SHALINI ALLELUIA,MISSISSAUGA,2022-Jun-02,Natalia Kusendova,AUDREY SIMPSON,NBO,523,0.01549262397061437,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,061,Mississauga East—Cooksville,Mississauga-Est—Cooksville,,MISSISSAUGA,2022-Jun-02,Kaleed Rasheed,DIPIKA DAMERLA,LIB,12634,0.37347759252690079,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,111,Toronto—St. Paul's,Toronto—St. Paul's,SCOTT SIMA,TORONTO,2022-Jun-02,Jill Andrew,NATHAN STALL,LIB,14200,0.33666042343346214,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,114,Waterloo,Waterloo,DIANE ALMEIDA,WATERLOO,2022-Jun-02,Catherine Fife,BENJAMIN HUFNAGEL,ONP,359,0.00799162993633409,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,028,Etobicoke Centre,Etobicoke-Centre,MARTIN RILEY,TORONTO,2022-Jun-02,Kinga Surma,NOEL SEMPLE,LIB,15443,0.34052170845185332,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,090,St. Catharines,St. Catharines,JOSEPH HENRIQUES,ST. CATHARINES,2022-Jun-02,Jennie Stevens,KEITH MCDONALD,NBO,1103,0.02557028931750741,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,046,Kingston and the Islands,Kingston et les Îles,ELIZABETH MCIVER,KINGSTON,2022-Jun-02,Ian Arthur,SEBASTIAN VAILLANCOURT,COM,123,0.00252312867956265,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,034,Haldimand—Norfolk,Haldimand—Norfolk,ANNE YURKIV,NORFOLK COUNTY,2022-Jun-02,Toby Barrett,KEN HEWITT,PCP,13851,0.30490677350474387,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,120,York Centre,York-Centre,SUZY LAREDO,TORONTO,2022-Jun-02,Roman Baber,FRANK CHU,NDP,3935,0.13989618885096700,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,096,Scarborough North,Scarborough-Nord,NATASHA BECKFORD,TORONTO,2022-Jun-02,Raymond Cho,TARA MCMAHON,GPO,479,0.01829850632234404,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,005,Barrie—Springwater—Oro-Medonte,Barrie—Springwater—Oro-Medonte,ANITA HAMILTON-LAKING,BARRIE,2022-Jun-02,Doug Downey,JEFF LEHMAN,LIB,16335,0.41354430379746835,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,038,Hamilton Mountain,Hamilton Mountain,JIM NELSON,HAMILTON,2022-Jun-02,Monique Taylor,BAYLEE NGUYEN,NBO,770,0.02262443438914027,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,110,Toronto—Danforth,Toronto—Danforth,DIANE STEVENSON,TORONTO,2022-Jun-02,Peter Tabuns,CHRISTOPHER BROPHY,NAP,201,0.00486400154873681,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,055,London West,London-Ouest,KAREN MAZEREEUW,LONDON,2022-Jun-02,Peggy Sattler,BRAD HARNESS,CNS,267,0.00535263221202036,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,024,Durham,Durham,RALPH WERRY,CLARINGTON,2022-Jun-02,Lindsey Park,SPENCER FORD,NBO,1898,0.03848337388483373,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,095,Scarborough—Guildwood,Scarborough—Guildwood,DARRYL D'SOUSA,TORONTO,2022-Jun-02,Mitzie Hunter,VERONICA JAVIER,NDP,4824,0.16663788041037686,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,022,Don Valley West,Don Valley-Ouest,NASIR ADDETIA,TORONTO,2022-Jun-02,Kathleen Wynne,PAUL REDDICK,CNS,60,0.00163220892274211,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,004,Barrie—Innisfil,Barrie—Innisfil,DENNIS CHRONOPOULOS,BARRIE,2022-Jun-02,Andrea Khanjin,JOHN OLTHUIS,LIB,6564,0.18096603440670489,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,115,Wellington—Halton Hills,Wellington—Halton Hills,YOLANDA FELLOWS,HALTON HILLS,2022-Jun-02,Ted Arnott,TOM TAKACS,LIB,6920,0.13981775200533408,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,105,Thunder Bay—Atikokan,Thunder Bay—Atikokan,TRACY TIEMAN,THUNDER BAY,2022-Jun-02,Judith Monteith-Farrell,KENNETH JONES,NRT,138,0.00518836002706970,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,054,London North Centre,London-Centre-Nord,EDWARD THOMPSON,LONDON,2022-Jun-02,Terence Devin Kernaghan,DARREL GRANT,ONP,368,0.00854125565742137,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,001,Ajax,Ajax,SHERRI GAUVREAU,AJAX,2022-Jun-02,Rod Phillips,GARRY READER,NBO,625,0.01658396794650675,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,016,Cambridge,Cambridge,LINDA LACHANCE,CAMBRIDGE,2022-Jun-02,Belinda Karahalios,CARLA JOHNSON,GPO,3537,0.08976929519555341,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,104,Thornhill,Thornhill,ANDREA PRONMAN,VAUGHAN,2022-Jun-02,Gila Martow,HITEN PATEL,NA,195,0.00564857192514918,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,120,York Centre,York-Centre,SUZY LAREDO,TORONTO,2022-Jun-02,Roman Baber,NICK BALASKAS,ONP,679,0.02413964732650739,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,007,Beaches—East York,Beaches—East York,JEFF PAULIN,TORONTO,2022-Jun-02,Rima Berns-McGown,KATE DUPUIS,NDP,13500,0.33211966148395985,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,020,Don Valley East,Don Valley-Est,SEAN GRANEY,TORONTO,2022-Jun-02,Michael Coteau,ADIL SHAMJI,LIB,12313,0.43855962387804530,3275,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,030,Etobicoke North,Etobicoke-Nord,CHRIS RYBAK,TORONTO,2022-Jun-02,Doug Ford,GABRIEL BLANC,GPO,690,0.02748675457116679,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,099,Simcoe—Grey,Simcoe—Grey,DARLENE MACARTNEY,CLEARVIEW,2022-Jun-02,Jim Wilson,BRIAN SAUNDERSON,PCP,27067,0.51179896380894754,15380,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,124,Mushkegowuk—James Bay,Mushkegowuk—Baie James,ANDRE GUERTIN,KAPUSKASING,2022-Jun-02,Guy Bourgouin,ERIC CÔTÉ,PCP,2594,0.35754651964162646,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,001,Ajax,Ajax,SHERRI GAUVREAU,AJAX,2022-Jun-02,Rod Phillips,ALLEN HADLEY,IND,112,0.00297184705601401,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,116,Whitby,Whitby,ROXANNE TOMMASULO,WHITBY,2022-Jun-02,Lorne Coe,SARA LABELLE,NDP,10524,0.22826652785007808,0,0
