"","district","party","votes","votes_pct","province"
"93","Kelowna West",NA,474,1.82034640347172,"BC"
"94","Kelowna-Lake Country","BCG",3833,14.5531171691093,"BC"
"95","Kelowna-Lake Country","BCU",14679,55.7331612119371,"BC"
"96","Kelowna-Lake Country","NDP(BC)",7121,27.0369807882147,"BC"
"97","Kelowna-Lake Country",NA,190,0.721391145872883,"BC"
"98","Kelowna-Lake Country",NA,515,1.95534968486597,"BC"
"99","Kelowna-Mission","BCG",4476,16.8498720072278,"BC"
"100","Kelowna-Mission","BCU",13483,50.7566631531396,"BC"
"101","Kelowna-Mission","NDP(BC)",8605,32.3934648396326,"BC"
"102","Kootenay East","BCG",1697,9.92804071842275,"BC"
"103","Kootenay East","BCU",9897,57.9008951032586,"BC"
"104","Kootenay East","NDP(BC)",5499,32.1710641783186,"BC"
"105","Kootenay West","BCG",3040,17.1780527773069,"BC"
"106","Kootenay West","BCU",1975,11.1600836299938,"BC"
"107","Kootenay West","NDP(BC)",10822,61.1516076171103,"BC"
"108","Kootenay West","BCC",1447,8.17652709498785,"BC"
"109","Kootenay West",NA,413,2.33372888060123,"BC"
"110","Langford-Juan de Fuca","BCG",4437,16.6679188580015,"BC"
"111","Langford-Juan de Fuca","BCU",3980,14.9511645379414,"BC"
"112","Langford-Juan de Fuca","NDP(BC)",18073,67.8925619834711,"BC"
"113","Langford-Juan de Fuca",NA,130,0.488354620586026,"BC"
"114","Langley","BCG",2469,10.5028075548749,"BC"
"115","Langley","BCU",8014,34.0905223753616,"BC"
"116","Langley","NDP(BC)",11089,47.1711757699507,"BC"
"117","Langley","BCC",1936,8.23549429981283,"BC"
"118","Langley East","BCG",3533,11.4185061891988,"BC"
"119","Langley East","BCU",10385,33.5638796418991,"BC"
"120","Langley East","NDP(BC)",13169,42.5616495911574,"BC"
"121","Langley East","BCC",3428,11.0791506415436,"BC"
"122","Langley East",NA,195,0.630231731359685,"BC"
"123","Langley East",NA,231,0.746582204841473,"BC"
"124","Maple Ridge-Mission","BCG",2849,11.3163330155704,"BC"
"125","Maple Ridge-Mission","BCU",8412,33.4127740705434,"BC"
"126","Maple Ridge-Mission","NDP(BC)",13915,55.2708929138862,"BC"
"127","Maple Ridge-Pitt Meadows","BCU",9163,36.5934504792332,"BC"
